episode,seed,epsilon,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,-15.050000,1.063846,50.492331,48,1,0,1,lost,100.000,1.500,0.000,1,13,-15.050000,1.063846,0.000000,,
2,8,0.994722,-21.000000,1.146358,54.474516,50,1,0,1,lost,65.070,16.500,0.000,3,18,-18.025000,1.105102,0.000000,,
3,9,0.989444,-11.050000,1.152425,53.225633,50,1,0,1,lost,100.000,0.308,25.000,2,20,-15.700000,1.120876,0.000000,,
4,10,0.984167,-16.350000,1.125368,55.155941,50,1,0,1,lost,98.050,1.500,0.000,3,18,-15.862500,1.121999,0.000000,,
5,11,0.978889,-16.350000,1.119470,52.292106,50,1,0,1,lost,100.000,3.994,9.500,1,10,-15.960000,1.121493,0.000000,,
6,12,0.973611,-30.750000,1.284035,57.653680,50,1,0,1,lost,91.320,29.500,0.000,1,7,-18.425000,1.148584,0.000000,,
7,13,0.968333,-13.550000,1.111938,51.741137,50,1,0,1,lost,100.000,0.000,21.000,3,15,-17.728571,1.143349,0.000000,,
8,14,0.963056,-14.150000,1.214980,51.893282,50,1,0,1,lost,100.000,8.656,46.000,0,13,-17.281250,1.152303,0.000000,,
9,15,0.957778,-14.850000,1.269185,60.570235,50,1,0,1,lost,100.000,1.500,46.000,4,12,-17.011111,1.165289,0.000000,,
10,16,0.952500,-22.350000,1.214194,55.909060,49,1,0,1,lost,81.430,28.500,0.000,1,16,-17.545000,1.170180,0.000000,,
11,17,0.947222,-25.200000,1.272409,56.991393,50,1,0,1,lost,37.980,0.116,38.000,5,14,-18.240909,1.179473,0.000000,,
12,18,0.941944,-22.900000,1.311451,58.214895,50,1,0,1,lost,85.730,26.000,0.000,0,12,-18.629167,1.190472,0.000000,,
13,19,0.936667,-12.300000,1.291147,59.637848,50,1,0,1,lost,100.000,1.500,0.000,1,15,-18.142308,1.198216,0.000000,,
