episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,0.750000,11.150000,1.739229,49.738164,30,1,1,0,recovered,100.000,0.000,36.000,30,0,12,11.150000,1.739229,1.000000,,
2,8,0.994722,0.744643,11.300000,2.542030,28.953509,30,1,1,0,recovered,68.870,0.000,44.000,30,0,12,11.225000,2.140630,1.000000,,
3,9,0.989444,0.739286,11.200000,3.012762,17.864280,38,1,1,0,recovered,100.000,1.458,44.000,33,4,14,11.216667,2.431340,1.000000,,
4,10,0.984167,0.733929,-20.400000,3.650483,89.395742,50,1,0,1,lost,88.000,0.000,18.500,33,4,14,3.312500,2.736126,0.750000,,
5,11,0.978889,0.728571,-15.200000,1.811464,62.389512,50,1,0,1,lost,100.000,9.444,16.500,0,4,17,-0.390000,2.551194,0.600000,,
6,12,0.973611,0.723214,-26.950000,1.801741,75.388344,50,1,0,1,lost,30.000,0.000,24.500,33,5,17,-4.816667,2.426285,0.500000,,
7,13,0.968333,0.717857,-19.000000,1.819317,75.731567,50,1,0,1,lost,58.290,0.150,42.000,33,6,17,-6.842857,2.339575,0.428571,,
8,14,0.963056,0.712500,-10.700000,1.990473,85.050263,50,1,0,1,lost,100.000,0.000,20.000,33,4,19,-7.325000,2.295937,0.375000,,
9,15,0.957778,0.707143,10.650000,0.646343,16.322218,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-5.327778,2.112649,0.444444,,
10,16,0.952500,0.701786,-20.500000,2.176350,73.919660,49,1,0,1,lost,87.970,24.000,0.000,0,4,19,-6.845000,2.119019,0.400000,,
11,17,0.947222,0.696429,-21.900000,1.680137,76.970469,50,1,0,1,lost,100.000,0.000,19.000,33,4,18,-8.213636,2.079121,0.363636,,
12,18,0.941944,0.691071,10.650000,0.621973,15.157022,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-6.641667,1.957692,0.416667,,
13,19,0.936667,0.685714,-20.950000,1.781207,75.101192,50,1,0,1,lost,47.350,10.590,23.000,0,1,20,-7.742308,1.944116,0.384615,,
14,20,0.931389,0.680357,-21.900000,2.024983,92.274618,50,1,0,1,lost,30.000,0.150,42.000,33,4,17,-8.753571,1.949892,0.357143,,
15,21,0.926111,0.675000,9.700000,0.418238,10.076645,30,1,1,0,recovered,100.000,0.000,36.000,30,0,12,-7.523333,1.847782,0.400000,,
16,22,0.920833,0.669643,10.800000,1.252272,4.213967,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-6.378125,1.810563,0.437500,,
17,23,0.915556,0.664286,10.550000,0.660299,5.012356,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-5.382353,1.742900,0.470588,,
18,24,0.910278,0.658929,-13.050000,3.285364,98.010588,50,1,0,1,lost,100.000,0.000,9.000,0,2,11,-5.808333,1.828593,0.444444,,
19,25,0.905000,0.653571,-14.950000,2.726707,105.607194,50,1,0,1,lost,100.000,0.000,5.000,0,1,12,-6.289474,1.875862,0.421053,,
20,26,0.899722,0.648214,-31.050000,2.731101,116.675396,50,1,0,1,lost,64.000,0.000,42.000,33,4,18,-7.527500,1.918624,0.400000,-16.750000,0.000000
21,27,0.894444,0.642857,-24.750000,2.558188,92.658676,38,1,0,1,lost,11.300,30.000,36.000,33,6,14,-9.322500,1.959572,0.350000,,
22,28,0.889167,0.637500,-36.200000,2.177220,104.386553,50,1,0,1,lost,61.000,0.000,26.500,33,5,16,-11.697500,1.941331,0.300000,,
23,29,0.883889,0.632143,-12.800000,2.600666,114.483447,50,1,0,1,lost,87.840,12.296,44.000,0,3,14,-12.897500,1.920726,0.250000,,
24,30,0.878611,0.626786,-11.500000,2.310099,94.306556,50,1,0,1,lost,40.900,0.000,22.500,33,4,15,-12.452500,1.853707,0.250000,,
25,31,0.873333,0.621429,-13.000000,3.423447,113.184462,35,1,0,1,lost,100.000,1.500,0.000,0,1,12,-12.342500,1.934306,0.250000,,
26,32,0.868056,0.616071,-14.850000,2.888452,133.705281,50,1,0,1,lost,100.000,0.000,8.000,0,0,16,-11.737500,1.988642,0.250000,,
27,33,0.862778,0.610714,-30.950000,2.135204,100.070112,50,1,0,1,lost,87.740,25.500,0.000,0,0,16,-12.335000,2.004436,0.250000,,
28,34,0.857500,0.605357,-11.300000,2.504225,107.661862,50,1,0,1,lost,64.930,10.044,46.000,0,1,17,-12.365000,2.030124,0.250000,,
29,35,0.852222,0.600000,-18.950000,2.768830,121.494348,50,1,0,1,lost,65.950,13.000,0.000,0,2,11,-13.845000,2.136248,0.200000,,
30,36,0.846944,0.594643,9.950000,0.185256,1.384467,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-12.322500,2.036693,0.250000,,
31,37,0.841667,0.589286,-12.800000,2.645582,123.465590,50,1,0,1,lost,99.560,0.000,14.000,0,1,16,-11.867500,2.084966,0.250000,,
