episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,0.750000,11.250000,1.750614,49.737035,30,1,1,0,recovered,100.000,0.000,38.000,21,0,13,11.250000,1.750614,1.000000,,
2,8,0.994722,0.744643,11.000000,2.375375,28.946485,30,1,1,0,recovered,68.870,0.000,46.000,21,0,12,11.125000,2.062994,1.000000,,
3,9,0.989444,0.739286,-15.150000,3.478475,69.166445,50,1,0,1,lost,100.000,3.858,48.000,24,5,18,2.366667,2.534821,0.666667,,
4,10,0.984167,0.733929,-21.150000,1.475054,56.956031,50,1,0,1,lost,100.000,4.500,0.000,25,6,20,-3.512500,2.269880,0.500000,,
5,11,0.978889,0.728571,-14.300000,1.600943,72.560854,50,1,0,1,lost,100.000,0.000,13.500,25,2,18,-5.670000,2.136092,0.400000,,
6,12,0.973611,0.723214,-27.500000,1.659418,73.983811,50,1,0,1,lost,30.000,0.000,44.000,27,5,17,-9.308333,2.056646,0.333333,,
7,13,0.968333,0.717857,-19.650000,1.409205,62.916310,50,1,0,1,lost,58.290,0.150,35.500,25,3,18,-10.785714,1.964155,0.285714,,
8,14,0.963056,0.712500,-13.150000,1.671454,77.775947,50,1,0,1,lost,100.000,3.806,44.000,26,5,16,-11.081250,1.927567,0.250000,,
9,15,0.957778,0.707143,-17.650000,1.474709,66.924327,50,1,0,1,lost,100.000,0.000,44.000,21,4,16,-11.811111,1.877250,0.222222,,
10,16,0.952500,0.701786,10.850000,1.151458,27.869333,32,1,1,0,recovered,100.000,2.100,40.000,15,0,12,-9.545000,1.804670,0.300000,,
11,17,0.947222,0.696429,-21.300000,1.859664,77.552417,50,1,0,1,lost,100.000,2.750,36.000,21,3,17,-10.613636,1.809670,0.272727,,
12,18,0.941944,0.691071,-17.950000,1.695969,77.453209,50,1,0,1,lost,100.000,9.000,0.000,22,3,18,-11.225000,1.800195,0.250000,,
13,19,0.936667,0.685714,-13.600000,1.681976,76.284283,50,1,0,1,lost,100.000,0.000,32.500,27,4,12,-11.407692,1.791101,0.230769,,
14,20,0.931389,0.680357,-27.550000,1.927860,88.916082,50,1,0,1,lost,100.000,1.200,44.000,27,3,19,-12.560714,1.800870,0.214286,,
15,21,0.926111,0.675000,-9.100000,1.928247,85.086794,50,1,0,1,lost,100.000,0.000,32.000,24,5,15,-12.330000,1.809361,0.200000,,
16,22,0.920833,0.669643,10.700000,1.064987,23.946562,30,1,1,0,recovered,100.000,0.000,13.000,23,0,12,-10.890625,1.762838,0.250000,,
17,23,0.915556,0.664286,-16.550000,1.936179,90.123946,50,1,0,1,lost,100.000,0.000,4.000,24,6,9,-11.223529,1.773035,0.235294,,
18,24,0.910278,0.658929,-12.050000,1.892207,89.415221,50,1,0,1,lost,100.000,0.000,34.000,23,4,18,-11.269444,1.779655,0.222222,,
19,25,0.905000,0.653571,-13.850000,1.874679,89.701277,50,1,0,1,lost,100.000,0.000,48.000,20,3,23,-11.405263,1.784656,0.210526,,
20,26,0.899722,0.648214,-23.450000,1.905622,90.556985,50,1,0,1,lost,77.000,0.000,44.000,23,2,20,-12.007500,1.790705,0.200000,,
21,27,0.894444,0.642857,-24.000000,2.036875,78.048035,42,1,0,1,lost,100.000,1.500,0.000,17,1,14,-13.770000,1.805018,0.150000,,
22,28,0.889167,0.637500,-33.500000,1.752434,79.737725,50,1,0,1,lost,100.000,0.850,44.000,22,3,19,-15.995000,1.773871,0.100000,,
23,29,0.883889,0.632143,11.850000,0.956165,20.399012,30,1,1,0,recovered,100.000,0.000,44.000,20,0,10,-14.645000,1.647755,0.150000,,
24,30,0.878611,0.626786,7.700000,0.536548,15.426038,45,1,1,0,recovered,40.900,0.000,42.000,21,4,13,-13.202500,1.600830,0.200000,,
25,31,0.873333,0.621429,-16.000000,2.831513,99.657454,50,1,0,1,lost,100.000,0.000,16.000,20,5,15,-13.287500,1.662358,0.200000,,
26,32,0.868056,0.616071,-15.450000,2.648989,94.458042,50,1,0,1,lost,100.000,0.450,46.000,18,3,17,-12.685000,1.711837,0.200000,,
27,33,0.862778,0.610714,-13.750000,2.182616,97.286100,50,1,0,1,lost,100.000,0.000,40.000,23,4,21,-12.390000,1.750508,0.200000,,
28,34,0.857500,0.605357,-13.600000,2.243134,95.712012,50,1,0,1,lost,100.000,0.000,15.500,18,4,20,-12.412500,1.779092,0.200000,,
29,35,0.852222,0.600000,-18.300000,2.393661,113.173265,50,1,0,1,lost,99.390,10.500,0.000,22,3,14,-12.445000,1.825039,0.200000,,
30,36,0.846944,0.594643,-15.000000,1.912597,87.577615,50,1,0,1,lost,100.000,0.300,38.000,19,2,21,-13.737500,1.863096,0.150000,-17.730000,0.000000
31,37,0.841667,0.589286,-25.700000,1.726988,78.536529,50,1,0,1,lost,30.340,14.790,25.500,16,3,28,-13.957500,1.856462,0.150000,,
32,38,0.836389,0.583929,-13.000000,2.002478,96.414789,50,1,0,1,lost,100.000,4.500,0.000,15,0,24,-13.710000,1.871788,0.150000,,
33,39,0.831111,0.578571,-14.350000,2.467516,114.989027,50,1,0,1,lost,100.000,0.000,44.000,16,2,15,-13.747500,1.911065,0.150000,,
34,40,0.825833,0.573214,-24.150000,1.916013,90.270139,50,1,0,1,lost,84.840,20.847,42.000,21,5,17,-13.577500,1.910472,0.150000,,
35,41,0.820556,0.567857,-11.650000,2.403291,110.439044,50,1,0,1,lost,100.000,0.000,46.000,17,3,14,-13.705000,1.934225,0.150000,,
36,42,0.815278,0.562500,-14.350000,2.216045,106.276229,50,1,0,1,lost,100.000,0.000,44.000,27,5,20,-14.957500,1.991777,0.100000,,
37,43,0.810000,0.557143,-14.500000,2.409983,112.210939,50,1,0,1,lost,100.000,0.000,18.000,18,4,19,-14.855000,2.015468,0.100000,,
38,44,0.804722,0.551786,-14.300000,2.347921,107.050059,50,1,0,1,lost,100.000,4.500,0.000,15,2,24,-14.967500,2.038253,0.100000,,
39,45,0.799444,0.546429,9.450000,0.514187,5.951308,30,1,1,0,recovered,100.000,0.000,40.000,21,0,12,-13.802500,1.970229,0.150000,,
40,46,0.794167,0.541071,-24.600000,2.011259,90.101045,49,1,0,1,lost,82.470,30.500,0.000,19,4,16,-13.860000,1.975511,0.150000,,
41,47,0.788889,0.535714,-14.500000,2.305849,112.801636,50,1,0,1,lost,100.000,0.000,36.000,14,0,17,-13.385000,1.988959,0.150000,,
42,48,0.783611,0.530357,-12.700000,2.326603,105.231162,50,1,0,1,lost,61.350,0.936,40.000,13,1,16,-12.345000,2.017668,0.150000,,
43,49,0.778333,0.525000,11.000000,0.602988,6.273596,19,1,1,0,recovered,52.400,0.000,50.000,12,0,7,-12.387500,2.000009,0.150000,,
44,50,0.773056,0.519643,-15.800000,3.369914,152.015274,50,1,0,1,lost,50.920,0.000,42.000,23,9,17,-13.562500,2.141677,0.100000,,
45,51,0.767778,0.514286,7.550000,0.637743,7.408775,32,1,1,0,recovered,100.000,0.000,46.000,18,2,10,-12.385000,2.031989,0.150000,,
46,52,0.762500,0.508929,-15.250000,2.755377,131.133821,50,1,0,1,lost,100.000,0.000,44.000,17,3,21,-12.375000,2.037308,0.150000,,
47,53,0.757222,0.503571,-13.450000,3.450354,120.553703,36,1,0,1,lost,100.000,1.500,0.000,16,4,15,-12.360000,2.100695,0.150000,,
48,54,0.751944,0.498214,7.600000,0.499069,4.817641,30,1,1,0,recovered,100.000,0.000,38.000,14,1,10,-11.300000,2.013492,0.200000,,
49,55,0.746667,0.492857,-16.000000,3.139880,148.324973,50,1,0,1,lost,100.000,0.000,48.000,14,4,17,-11.185000,2.050803,0.200000,,
50,56,0.741389,0.487500,-16.650000,2.314777,93.089043,45,1,0,1,lost,100.000,6.500,0.000,18,3,15,-11.267500,2.070912,0.200000,,
51,57,0.736111,0.482143,11.100000,0.572042,1.892494,26,1,1,0,recovered,57.690,0.000,48.000,14,1,10,-9.427500,2.013164,0.250000,,
