episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,0.750000,11.250000,1.750614,49.737035,30,1,1,0,recovered,100.000,0.000,38.000,21,0,13,11.250000,1.750614,1.000000,,
2,8,0.994722,0.744643,11.000000,2.375375,28.946485,30,1,1,0,recovered,68.870,0.000,46.000,21,0,12,11.125000,2.062994,1.000000,,
3,9,0.989444,0.739286,-15.150000,3.478475,69.166445,50,1,0,1,lost,100.000,3.858,48.000,24,5,18,2.366667,2.534821,0.666667,,
4,10,0.984167,0.733929,-21.150000,1.475054,56.956031,50,1,0,1,lost,100.000,4.500,0.000,25,6,20,-3.512500,2.269880,0.500000,,
5,11,0.978889,0.728571,-14.300000,1.600943,72.560854,50,1,0,1,lost,100.000,0.000,13.500,25,2,18,-5.670000,2.136092,0.400000,-13.183333,0.000000
6,12,0.973611,0.723214,-31.450000,1.498418,68.943589,50,1,0,1,lost,30.000,13.500,0.000,25,4,15,-9.966667,2.029813,0.333333,,
7,13,0.968333,0.717857,-27.500000,1.762432,81.449659,50,1,0,1,lost,100.000,0.000,42.000,19,2,22,-12.471429,1.991616,0.285714,,
8,14,0.963056,0.712500,-11.650000,1.905790,81.748162,50,1,0,1,lost,100.000,3.006,44.000,28,6,19,-12.368750,1.980888,0.250000,,
9,15,0.957778,0.707143,12.350000,1.144614,27.423625,30,1,1,0,recovered,100.000,0.900,46.000,20,0,12,-9.622222,1.887968,0.333333,,
10,16,0.952500,0.701786,9.300000,1.309692,14.057246,30,1,1,0,recovered,100.000,0.000,44.000,17,1,11,-7.730000,1.830141,0.400000,-39.183333,0.000000
11,17,0.947222,0.696429,-22.200000,3.598755,90.328699,50,1,0,1,lost,100.000,0.000,36.000,30,4,15,-9.045455,1.990924,0.363636,,
12,18,0.941944,0.691071,7.200000,1.400695,17.871561,31,1,1,0,recovered,100.000,0.900,42.000,20,1,10,-7.691667,1.941738,0.416667,,
13,19,0.936667,0.685714,-17.650000,2.225139,88.279661,50,1,0,1,lost,100.000,8.790,0.000,24,4,14,-8.457692,1.963538,0.384615,,
14,20,0.931389,0.680357,-27.750000,2.081932,86.893707,50,1,0,1,lost,16.210,19.500,0.000,24,6,16,-9.835714,1.971995,0.357143,,
15,21,0.926111,0.675000,9.350000,0.470779,10.158013,30,1,1,0,recovered,100.000,0.000,38.000,22,2,11,-8.556667,1.871914,0.400000,-37.500000,0.000000
16,22,0.920833,0.669643,10.850000,0.970675,4.471084,30,1,1,0,recovered,100.000,0.900,46.000,20,1,12,-7.343750,1.815586,0.437500,,
17,23,0.915556,0.664286,8.200000,0.807984,7.614210,49,1,1,0,recovered,100.000,0.000,31.000,25,3,18,-6.429412,1.756316,0.470588,,
18,24,0.910278,0.658929,-12.300000,2.875936,121.418940,50,1,0,1,lost,100.000,6.958,40.000,26,4,19,-6.755556,1.818517,0.444444,,
19,25,0.905000,0.653571,6.550000,0.855089,5.289141,43,1,1,0,recovered,100.000,0.650,44.000,22,3,10,-6.055263,1.767810,0.473684,,
20,26,0.899722,0.648214,-25.450000,3.013728,114.346839,50,1,0,1,lost,100.000,0.000,40.000,22,5,13,-7.025000,1.830106,0.450000,-30.700000,0.000000
