episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
1,1,8,switch_to_backup_battery,-0.050000,0.000344,0,degraded,100.000,0.000,50.000,switched to backup battery
1,2,29,safe_mode,-0.250000,0.017522,0,degraded,100.000,0.000,50.000,safe mode engaged; non-essentials shed
1,3,6,restore_load:heaters,-0.250000,0.021365,0,degraded,100.000,0.000,50.000,heaters already online
1,4,16,cross_validate_attitude,-0.050000,0.000045,0,degraded,100.000,0.000,50.000,diag: ST=0.00deg GY=0.91deg SUN=0.00deg disagree=0.00
1,5,8,switch_to_backup_battery,-0.350000,0.060760,0,degraded,100.000,0.000,50.000,already on backup battery
1,6,26,diagnostic_scan:power,0.050000,0.004314,0,degraded,100.000,0.000,50.000,diag-scan power: bat=100.0% solar=112.1W load=40.0W net=positive pcf=False
1,7,30,resume_nominal,-0.550000,0.138140,0,degraded,100.000,0.000,50.000,refused: 2 unresolved fault(s) - resolve before resuming nominal
1,8,29,safe_mode,-0.250000,0.009977,0,degraded,100.000,0.000,50.000,safe mode engaged; non-essentials shed
1,9,28,diagnostic_scan:comms,0.050000,0.003030,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=False
1,10,19,switch_attitude_reference:sun_sensor,-0.050000,0.000049,0,degraded,100.000,0.150,50.000,attitude reference set to sun_sensor
1,11,29,safe_mode,-0.250000,0.003229,0,degraded,100.000,0.150,50.000,safe mode engaged; non-essentials shed
1,12,29,safe_mode,-0.250000,0.001249,0,degraded,100.000,0.150,50.000,safe mode engaged; non-essentials shed
1,13,21,query_power_level:battery,0.000000,0.001557,0,degraded,100.000,0.300,50.000,diag: battery_pct=100.0% health=1.00 backup=True pcf=False
1,14,17,switch_attitude_reference:star_tracker,-0.050000,0.000432,0,degraded,100.000,0.200,50.000,attitude reference set to star_tracker
1,15,26,diagnostic_scan:power,0.050000,0.001679,0,degraded,100.000,0.100,50.000,diag-scan power: bat=100.0% solar=111.0W load=40.0W net=positive pcf=False
1,16,0,shed_load:science_a,-0.250000,0.012646,0,degraded,100.000,0.000,50.000,science_a already offline
1,17,13,switch_to_thruster_control,-0.050000,0.000048,0,degraded,100.000,0.000,48.500,ACS switched to thruster control
