episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,0.750000,11.150000,1.739229,49.738164,30,1,1,0,recovered,100.000,0.000,36.000,30,0,12,11.150000,1.739229,1.000000,,
2,8,0.994722,0.744643,11.300000,2.542030,28.953509,30,1,1,0,recovered,68.870,0.000,44.000,30,0,12,11.225000,2.140630,1.000000,,
3,9,0.989444,0.739286,11.200000,3.012762,17.864280,38,1,1,0,recovered,100.000,1.458,44.000,33,4,14,11.216667,2.431340,1.000000,,
4,10,0.984167,0.733929,-20.400000,3.650483,89.395742,50,1,0,1,lost,88.000,0.000,18.500,33,4,14,3.312500,2.736126,0.750000,,
5,11,0.978889,0.728571,-15.200000,1.811464,62.389512,50,1,0,1,lost,100.000,9.444,16.500,0,4,17,-0.390000,2.551194,0.600000,-16.550000,0.000000
6,12,0.973611,0.723214,-13.800000,1.938953,68.125992,50,1,0,1,lost,100.000,0.000,1.500,0,3,21,-2.625000,2.449153,0.500000,,
7,13,0.968333,0.717857,-25.350000,2.597591,111.391681,50,1,0,1,lost,100.000,0.000,42.000,33,5,17,-5.871429,2.470359,0.428571,,
8,14,0.963056,0.712500,-17.000000,2.415222,95.707131,50,1,0,1,lost,100.000,3.000,0.000,0,1,14,-7.262500,2.463467,0.375000,,
9,15,0.957778,0.707143,10.650000,0.574084,14.378353,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-5.272222,2.253535,0.444444,,
10,16,0.952500,0.701786,-13.100000,1.828253,63.843073,48,1,0,1,lost,100.000,1.500,0.000,0,1,16,-6.055000,2.211007,0.400000,-19.316667,0.000000
11,17,0.947222,0.696429,-27.150000,2.175053,102.282533,50,1,0,1,lost,33.980,0.000,36.000,33,6,16,-7.972727,2.207739,0.363636,,
12,18,0.941944,0.691071,10.650000,0.869222,24.172136,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-6.420833,2.096195,0.416667,,
13,19,0.936667,0.685714,-13.100000,2.189531,94.999781,50,1,0,1,lost,100.000,0.000,22.500,0,1,13,-6.934615,2.103375,0.384615,,
14,20,0.931389,0.680357,-19.200000,2.310981,98.288850,50,1,0,1,lost,100.000,0.000,8.000,0,2,19,-7.810714,2.118204,0.357143,,
15,21,0.926111,0.675000,9.700000,0.323745,8.174001,30,1,1,0,recovered,100.000,0.000,36.000,30,0,12,-6.643333,1.998574,0.400000,-37.500000,0.000000
16,22,0.920833,0.669643,10.800000,0.918165,3.210864,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-5.553125,1.931048,0.437500,,
17,23,0.915556,0.664286,10.550000,0.578475,4.136930,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-4.605882,1.851485,0.470588,,
18,24,0.910278,0.658929,-7.450000,2.949153,92.140911,50,1,0,1,lost,100.000,0.000,8.500,33,4,16,-4.763889,1.912466,0.444444,,
19,25,0.905000,0.653571,9.950000,0.300348,1.682669,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-3.989474,1.827618,0.473684,,
20,26,0.899722,0.648214,-31.000000,2.293567,81.195142,50,1,0,1,lost,99.490,13.500,0.000,0,2,13,-5.340000,1.850916,0.450000,-18.800000,0.000000
