episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
1,1,22,query_power_level:solar_a,0.000000,0.001239,0,degraded,100.000,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
1,2,23,query_power_level:solar_b,0.000000,0.001066,0,degraded,100.000,0.000,50.000,diag: solar_b output=22.1W health=0.25 (panel DEGRADED)
1,3,21,query_power_level:battery,0.000000,0.001412,0,degraded,100.000,0.000,50.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
1,4,26,diagnostic_scan:power,0.050000,0.008334,0,degraded,100.000,0.000,50.000,diag-scan power: bat=100.0% solar=112.1W load=105.0W net=positive pcf=False
1,5,27,diagnostic_scan:attitude,0.050000,0.001753,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.50 st_fault=False ref=star_tracker
1,6,28,diagnostic_scan:comms,0.050000,0.006687,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
1,7,25,query_thermal,0.000000,0.003384,0,degraded,100.000,0.000,50.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
1,8,16,cross_validate_attitude,-0.050000,0.000385,0,degraded,100.000,0.000,50.000,diag: ST=0.00deg GY=1.02deg SUN=0.00deg disagree=0.00
1,9,24,query_attitude,0.000000,0.004117,0,degraded,100.000,0.000,50.000,diag: mode=nominal err=0.00deg rw=degraded ref=star_tracker st_bias=0.0 gyro_bias=1.0
1,10,0,shed_load:science_a,-0.150000,0.000630,0,degraded,100.000,0.000,50.000,science_a powered off
1,11,1,shed_load:science_b,-0.150000,0.005408,0,degraded,100.000,0.000,50.000,science_b powered off
1,12,9,reset_power_controller,-0.250000,0.021925,0,degraded,100.000,0.000,50.000,power controller nominal; reset had no effect
1,13,10,reconfigure_power:solar_a,-0.350000,0.036514,0,degraded,100.000,0.000,50.000,solar_a has no active fault to reconfigure
1,14,11,reconfigure_power:solar_b,0.950000,0.524775,0,degraded,100.000,0.000,50.000,solar_b reconfigured successfully; fault cleared (health 0.25 -> 0.65)
1,15,10,reconfigure_power:solar_a,-0.350000,0.021669,0,degraded,100.000,0.000,50.000,solar_a has no active fault to reconfigure
1,16,11,reconfigure_power:solar_b,-0.350000,0.068897,0,degraded,100.000,0.000,50.000,solar_b has no active fault to reconfigure
1,17,15,recalibrate_star_tracker,-0.250000,0.000010,0,degraded,100.000,0.000,50.000,star tracker nominal; recalibration unnecessary
1,18,14,desaturate_wheels,0.600000,0.331843,0,nominal,100.000,0.000,46.000,wheels desaturated; rw_fault cleared (degradation 0.26)
1,19,14,desaturate_wheels,0.300000,0.039843,0,nominal,100.000,0.000,42.000,wheels desaturated; degradation now 0.00
1,20,20,recalibrate_imu,0.500000,0.466127,0,nominal,100.000,0.000,42.000,IMU recalibrated; gyro bias 1.37 cleared
1,21,6,restore_load:heaters,-0.100000,0.054316,0,nominal,100.000,0.000,42.000,heaters already online
1,22,3,shed_load:transponder,0.000000,0.053181,0,nominal,100.000,0.000,42.000,transponder powered off
1,23,7,restore_load:transponder,0.200000,0.189566,0,nominal,100.000,0.000,42.000,transponder restored
1,24,12,stabilize_attitude,0.000000,0.082839,0,nominal,100.000,0.000,40.000,attitude stabilization burn; pointing error 0.00deg
1,25,12,stabilize_attitude,0.000000,0.025589,0,nominal,100.000,0.000,38.000,attitude stabilization burn; pointing error 0.00deg
1,26,12,stabilize_attitude,0.000000,0.007944,0,nominal,100.000,0.000,36.000,attitude stabilization burn; pointing error 0.00deg
1,27,24,query_attitude,0.150000,0.155408,0,nominal,100.000,0.000,36.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
1,28,25,query_thermal,0.150000,0.158324,0,nominal,100.000,0.000,36.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
1,29,21,query_power_level:battery,0.150000,0.165534,0,nominal,100.000,0.000,36.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
1,30,30,resume_nominal,10.000000,49.738164,1,recovered,100.000,0.000,36.000,nominal operations resumed; mission recovered
2,1,22,query_power_level:solar_a,0.000000,2.096363,0,degraded,59.190,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,2,23,query_power_level:solar_b,0.000000,2.068069,0,degraded,60.860,0.000,50.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
2,3,21,query_power_level:battery,0.000000,1.617412,0,degraded,62.530,0.000,50.000,diag: battery_pct=60.9% health=0.69 backup=False pcf=True
2,4,26,diagnostic_scan:power,0.050000,2.173437,0,degraded,64.190,0.000,50.000,diag-scan power: bat=62.5% solar=180.0W load=105.0W net=positive pcf=True
2,5,27,diagnostic_scan:attitude,0.050000,2.127914,0,degraded,65.860,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
2,6,28,diagnostic_scan:comms,0.050000,2.153665,0,degraded,67.530,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
2,7,25,query_thermal,0.000000,1.647185,0,degraded,68.870,0.000,50.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
2,8,16,cross_validate_attitude,-0.050000,2.078967,0,degraded,68.870,0.000,50.000,diag: ST=0.00deg GY=0.00deg SUN=0.00deg disagree=0.00
2,9,24,query_attitude,0.000000,1.669163,0,degraded,68.870,0.000,50.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
2,10,0,shed_load:science_a,0.250000,2.550311,0,degraded,68.870,0.000,50.000,science_a powered off
2,11,1,shed_load:science_b,0.250000,2.500251,0,degraded,68.870,0.000,50.000,science_b powered off
2,12,9,reset_power_controller,0.900000,4.718355,0,nominal,68.870,0.000,50.000,power controller reset; drain fault cleared
2,13,10,reconfigure_power:solar_a,-0.200000,1.911501,0,nominal,68.870,0.000,50.000,solar_a has no active fault to reconfigure
2,14,11,reconfigure_power:solar_b,-0.200000,1.442413,0,nominal,68.870,0.000,50.000,solar_b has no active fault to reconfigure
2,15,10,reconfigure_power:solar_a,-0.200000,0.582156,0,nominal,68.870,0.000,50.000,solar_a has no active fault to reconfigure
2,16,11,reconfigure_power:solar_b,-0.200000,0.438920,0,nominal,68.870,0.000,50.000,solar_b has no active fault to reconfigure
2,17,15,recalibrate_star_tracker,-0.100000,2.039004,0,nominal,68.870,0.000,50.000,star tracker nominal; recalibration unnecessary
2,18,14,desaturate_wheels,0.000000,1.396344,0,nominal,68.870,0.000,50.000,wheels already nominal; desaturation unnecessary
2,19,14,desaturate_wheels,0.000000,0.421576,0,nominal,68.870,0.000,50.000,wheels already nominal; desaturation unnecessary
2,20,20,recalibrate_imu,0.150000,1.783157,0,nominal,68.870,0.000,50.000,IMU recalibrated (bias was negligible)
2,21,6,restore_load:heaters,-0.100000,1.776172,0,nominal,68.870,0.000,50.000,heaters already online
2,22,3,shed_load:transponder,0.000000,1.024854,0,nominal,68.870,0.000,50.000,transponder powered off
2,23,7,restore_load:transponder,0.200000,2.168661,0,nominal,68.870,0.000,50.000,transponder restored
2,24,12,stabilize_attitude,0.000000,1.565490,0,nominal,68.870,0.000,48.000,attitude stabilization burn; pointing error 0.00deg
2,25,12,stabilize_attitude,0.000000,0.466637,0,nominal,68.870,0.000,46.000,attitude stabilization burn; pointing error 0.00deg
2,26,12,stabilize_attitude,0.000000,0.140395,0,nominal,68.870,0.000,44.000,attitude stabilization burn; pointing error 0.00deg
2,27,24,query_attitude,0.150000,0.962880,0,nominal,68.870,0.000,44.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
2,28,25,query_thermal,0.150000,0.878033,0,nominal,68.870,0.000,44.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
2,29,21,query_power_level:battery,0.150000,0.908117,0,nominal,68.870,0.000,44.000,diag: battery_pct=68.9% health=0.69 backup=False pcf=False
2,30,30,resume_nominal,10.000000,28.953509,1,recovered,68.870,0.000,44.000,nominal operations resumed; mission recovered
3,1,22,query_power_level:solar_a,0.000000,4.662238,0,degraded,60.300,3.158,50.000,diag: solar_a output=78.5W health=1.00 (panel nominal)
3,2,23,query_power_level:solar_b,0.000000,4.426678,0,degraded,60.300,3.758,50.000,diag: solar_b output=75.8W health=1.00 (panel nominal)
3,3,21,query_power_level:battery,0.000000,2.563374,0,degraded,60.300,4.358,50.000,diag: battery_pct=60.3% health=0.60 backup=False pcf=True
3,4,26,diagnostic_scan:power,0.050000,4.401569,0,degraded,60.300,4.958,50.000,diag-scan power: bat=60.3% solar=140.8W load=105.0W net=positive pcf=True
3,5,27,diagnostic_scan:attitude,0.050000,4.146365,0,degraded,60.300,5.558,50.000,diag-scan attitude: mode=nominal err=4.96deg rw_deg=0.00 st_fault=True ref=star_tracker
3,6,28,diagnostic_scan:comms,0.050000,4.148437,0,degraded,60.300,6.158,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
3,7,25,query_thermal,0.000000,2.393910,0,degraded,60.120,6.758,50.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,8,16,cross_validate_attitude,0.050000,4.270059,0,degraded,59.760,7.358,50.000,diag: ST=11.09deg GY=6.76deg SUN=6.76deg disagree=4.34
3,9,24,query_attitude,0.000000,2.391285,0,degraded,59.220,7.958,50.000,diag: mode=nominal err=7.36deg rw=nominal ref=star_tracker st_bias=4.3 gyro_bias=0.0
3,10,0,shed_load:science_a,0.250000,3.790210,0,degraded,59.330,8.558,50.000,science_a powered off
3,11,1,shed_load:science_b,0.250000,4.086097,0,degraded,60.090,9.158,50.000,science_b powered off
3,12,9,reset_power_controller,0.750000,4.825406,0,degraded,60.300,9.758,50.000,power controller reset; drain fault cleared
3,13,10,reconfigure_power:solar_a,-0.350000,2.165712,0,degraded,60.300,10.358,50.000,solar_a has no active fault to reconfigure
3,14,11,reconfigure_power:solar_b,-0.350000,1.911545,0,degraded,60.300,10.958,50.000,solar_b has no active fault to reconfigure
3,15,10,reconfigure_power:solar_a,-0.350000,0.761132,0,degraded,60.300,11.558,50.000,solar_a has no active fault to reconfigure
3,16,11,reconfigure_power:solar_b,-0.350000,0.671754,0,degraded,60.300,12.158,50.000,solar_b has no active fault to reconfigure
3,17,15,recalibrate_star_tracker,0.950000,6.939649,0,degraded,60.300,11.058,50.000,star tracker recalibrated; drift fault cleared
3,18,14,desaturate_wheels,-0.150000,2.017230,0,degraded,60.300,10.958,50.000,wheels already nominal; desaturation unnecessary
3,19,14,desaturate_wheels,-0.150000,0.752422,0,degraded,60.300,10.858,50.000,wheels already nominal; desaturation unnecessary
3,20,20,recalibrate_imu,0.000000,3.154545,0,degraded,60.300,10.758,50.000,IMU recalibrated (bias was negligible)
3,21,6,restore_load:heaters,-0.250000,3.049431,0,degraded,60.300,10.658,50.000,heaters already online
3,22,3,shed_load:transponder,-0.150000,1.525310,0,degraded,60.300,10.558,50.000,transponder powered off
3,23,7,restore_load:transponder,0.050000,3.682453,0,degraded,60.300,10.458,50.000,transponder restored
3,24,12,stabilize_attitude,0.250000,2.779562,0,degraded,60.300,7.858,48.000,attitude stabilization burn; pointing error 7.96deg
3,25,12,stabilize_attitude,0.250000,1.092486,0,degraded,60.300,5.258,46.000,attitude stabilization burn; pointing error 5.36deg
3,26,12,stabilize_attitude,0.400000,0.988685,0,nominal,60.300,2.658,44.000,attitude stabilization burn; pointing error 2.76deg
3,27,24,query_attitude,0.150000,2.342729,0,nominal,60.300,2.558,44.000,diag: mode=nominal err=2.66deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
3,28,25,query_thermal,0.150000,2.032654,0,nominal,60.300,2.458,44.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,29,21,query_power_level:battery,0.150000,1.939296,0,nominal,60.300,2.358,44.000,diag: battery_pct=60.3% health=0.60 backup=False pcf=False
3,30,30,resume_nominal,-0.200000,0.266718,0,nominal,60.300,2.258,44.000,"refused: state not stable (err=2.4, bat=60.3%)"
3,31,30,resume_nominal,-0.200000,0.079371,0,nominal,60.300,2.158,44.000,"refused: state not stable (err=2.3, bat=60.3%)"
3,32,30,resume_nominal,-0.200000,0.075912,0,nominal,60.300,2.058,44.000,"refused: state not stable (err=2.2, bat=60.3%)"
3,33,30,resume_nominal,-0.200000,0.045468,0,nominal,60.300,1.958,44.000,"refused: state not stable (err=2.1, bat=60.3%)"
3,34,6,restore_load:heaters,-0.100000,1.329536,0,nominal,60.300,1.858,44.000,heaters already online
3,35,16,cross_validate_attitude,0.100000,1.765987,0,nominal,60.300,1.758,44.000,diag: ST=1.86deg GY=1.86deg SUN=1.86deg disagree=0.00
3,36,8,switch_to_backup_battery,0.100000,7.264785,0,nominal,100.000,1.658,44.000,switched to backup battery
3,37,26,diagnostic_scan:power,0.200000,1.880685,0,nominal,100.000,1.558,44.000,diag-scan power: bat=100.0% solar=165.1W load=55.0W net=positive pcf=False
3,38,30,resume_nominal,10.000000,17.864280,1,recovered,100.000,1.458,44.000,nominal operations resumed; mission recovered
4,1,22,query_power_level:solar_a,0.000000,3.007788,0,degraded,100.000,0.000,50.000,diag: solar_a output=20.1W health=0.22 (panel DEGRADED)
4,2,23,query_power_level:solar_b,0.000000,2.691696,0,degraded,100.000,0.000,50.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
4,3,21,query_power_level:battery,0.000000,0.916860,0,degraded,100.000,0.000,50.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
4,4,26,diagnostic_scan:power,0.050000,1.430887,0,degraded,100.000,0.000,50.000,diag-scan power: bat=100.0% solar=110.1W load=105.0W net=positive pcf=False
4,5,27,diagnostic_scan:attitude,0.050000,2.798977,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.54 st_fault=False ref=star_tracker
4,6,28,diagnostic_scan:comms,0.050000,2.874403,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
4,7,25,query_thermal,0.000000,0.995319,0,degraded,100.000,0.000,50.000,diag: battery_temp=8.3C heaters=offline thermal_fault=True
4,8,16,cross_validate_attitude,-0.050000,1.540754,0,degraded,100.000,0.000,50.000,diag: ST=0.00deg GY=1.11deg SUN=0.00deg disagree=0.00
4,9,24,query_attitude,0.000000,1.074955,0,degraded,100.000,0.000,50.000,diag: mode=nominal err=0.00deg rw=degraded ref=star_tracker st_bias=0.0 gyro_bias=1.1
4,10,0,shed_load:science_a,-0.150000,1.814234,0,degraded,100.000,0.000,50.000,science_a powered off
4,11,1,shed_load:science_b,-0.150000,2.366294,0,degraded,100.000,0.000,50.000,science_b powered off
4,12,9,reset_power_controller,-0.250000,1.722416,0,degraded,100.000,0.000,50.000,power controller nominal; reset had no effect
4,13,10,reconfigure_power:solar_a,0.950000,5.261575,0,degraded,100.000,0.000,50.000,solar_a reconfigured successfully; fault cleared (health 0.22 -> 0.62)
4,14,11,reconfigure_power:solar_b,-0.350000,1.640501,0,degraded,100.000,0.000,50.000,solar_b has no active fault to reconfigure
4,15,10,reconfigure_power:solar_a,-0.350000,0.177569,0,degraded,100.000,0.000,50.000,solar_a has no active fault to reconfigure
4,16,11,reconfigure_power:solar_b,-0.350000,0.578773,0,degraded,100.000,0.000,50.000,solar_b has no active fault to reconfigure
4,17,15,recalibrate_star_tracker,-0.700000,1.514852,0,critical,100.000,0.000,50.000,star tracker nominal; recalibration unnecessary
4,18,14,desaturate_wheels,0.000000,2.964107,0,critical,99.000,0.000,46.000,wheels desaturated; rw_fault cleared (degradation 0.30)
4,19,14,desaturate_wheels,-0.300000,0.553384,0,critical,98.000,0.000,42.000,wheels desaturated; degradation now 0.00
4,20,20,recalibrate_imu,-0.100000,3.813293,0,critical,97.000,0.000,42.000,IMU recalibrated; gyro bias 1.49 cleared
4,21,6,restore_load:heaters,-0.400000,3.043765,0,critical,96.000,0.000,42.000,heaters restored
4,22,3,shed_load:transponder,-0.600000,1.418984,0,critical,95.000,0.000,42.000,transponder powered off
4,23,7,restore_load:transponder,-0.400000,4.209694,0,critical,94.000,0.000,42.000,transponder restored
4,24,12,stabilize_attitude,-0.600000,0.413226,0,critical,93.000,0.000,40.000,attitude stabilization burn; pointing error 0.00deg
4,25,12,stabilize_attitude,-0.600000,0.134960,0,critical,92.000,0.000,38.000,attitude stabilization burn; pointing error 0.00deg
4,26,12,stabilize_attitude,-0.600000,0.044484,0,critical,91.000,0.000,36.000,attitude stabilization burn; pointing error 0.00deg
4,27,24,query_attitude,-0.450000,0.966395,0,critical,90.000,0.000,36.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
4,28,25,query_thermal,-0.450000,0.704366,0,critical,89.000,0.000,36.000,diag: battery_temp=-0.6C heaters=online thermal_fault=True
4,29,21,query_power_level:battery,0.000000,1.361383,0,degraded,88.000,0.000,36.000,diag: battery_pct=89.0% health=0.88 backup=False pcf=False
4,30,30,resume_nominal,-0.550000,0.828248,0,degraded,88.000,0.000,36.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
4,31,30,resume_nominal,-0.550000,0.306167,0,degraded,88.000,0.000,36.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
4,32,30,resume_nominal,-0.550000,0.286320,0,degraded,88.000,0.000,36.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
4,33,30,resume_nominal,-0.550000,0.085371,0,degraded,88.000,0.000,36.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
4,34,6,restore_load:heaters,-0.250000,0.132681,0,degraded,88.000,0.000,36.000,heaters already online
4,35,10,reconfigure_power:solar_a,-0.350000,0.000003,0,degraded,88.000,0.000,36.000,solar_a has no active fault to reconfigure
4,36,12,stabilize_attitude,-0.150000,0.072081,0,degraded,88.000,0.000,34.000,attitude stabilization burn; pointing error 0.00deg
